,date,inpatient_beds_utilization,inpatient_bed_covid_utilization,percent_of_inpatients_with_covid
162,2021-06-12,0.781519715687934,0.03115663679044,0.039777680906713
163,2021-06-13,0.766368545393183,0.030896246489063,0.040212695247591
164,2021-06-14,0.772639691714836,0.038625416821045,0.04983865184654
165,2021-06-15,0.790946035346376,0.038175224279443,0.048117406471791
166,2021-06-16,0.806924882629108,0.032893624217825,0.040669106116048
167,2021-06-17,0.809214412285883,0.031406928249213,0.038744225115498
168,2021-06-18,0.802208067940552,0.03050034270048,0.037940957049984
169,2021-06-19,0.781807321443809,0.029183884297521,0.037220026350461
170,2021-06-20,0.790685504971219,0.03132975446625,0.039498502163542
171,2021-06-21,0.779748562518273,0.03603071470762,0.04607250755287
172,2021-06-22,0.800346887646946,0.032506082725061,0.040494665373424
173,2021-06-23,0.829683698296837,0.027621887057173,0.033217336285985
174,2021-06-24,0.823824343015214,0.027215631542219,0.032963549920761
175,2021-06-25,0.810107066381156,0.030075187969925,0.03704886617694
176,2021-06-26,0.783781454670803,0.02704583007218,0.034410267758354
177,2021-06-27,0.776245474918118,0.027828506826681,0.035774175517049
178,2021-06-28,0.78868316644625,0.028999332252218,0.036692818346409
179,2021-06-29,0.792781639843824,0.031063666089633,0.039094650205761
180,2021-06-30,0.825329769807742,0.026009046624913,0.031427370191297
181,2021-07-01,0.818299302145257,0.025817107093185,0.031475201356507
182,2021-07-02,0.811572700296736,0.023513870541612,0.028899231518563
183,2021-07-03,0.782380747743876,0.022025667707249,0.028029132641801
184,2021-07-04,0.764523625096824,0.024051402274898,0.031345479235035
185,2021-07-05,0.757347178683386,0.028992677617257,0.038170922355393
186,2021-07-06,0.776441596845737,0.027780543662252,0.035686876438987
187,2021-07-07,0.825112495673243,0.025757443464594,0.031151003167899
188,2021-07-08,0.827338129496403,0.025015306568705,0.030149694286317
189,2021-07-09,0.834295208114726,0.023296858453936,0.027845164012235
190,2021-07-10,0.813866712946893,0.022679509632224,0.027774798927614
191,2021-07-11,0.813809357541899,0.023872445384073,0.029246708396288
192,2021-07-12,0.795778057519125,0.026508852587303,0.033194512493876
193,2021-07-13,0.832582288401254,0.026722090261283,0.031971580817052
194,2021-07-14,0.848187707932061,0.022440144889124,0.026403326403326
195,2021-07-15,0.846764346764347,0.02174104392219,0.025601160862355
196,2021-07-16,0.847673397717296,0.021798848028356,0.025654395661696
197,2021-07-17,0.827821522309711,0.020485651214128,0.02469924411796
198,2021-07-18,0.810695280467591,0.022008979663703,0.027085590465872
199,2021-07-19,0.818616226978596,0.027562619454783,0.033586663397892
200,2021-07-20,0.8300395256917,0.029852236421725,0.035885741718675
