,vaccination_date,agerange,firstdailydose,firstdailydosecumulative,seconddailydosecumulative,singledailydosecumulative,thirddailydosecumulative,combinedalldosescumulative,fullyvaccinatedcumulative,firstboosterdailydosecumulative,secondboosterdailydosecumulative,seconddailydose,fullyvaccinated,firstboosterdailydose,singledailydose,secondboosterdailydose,thirddailydose
121,2011-05-09 11:00:00,12-17,1.0,17,1,0,0,0,1,0,0,,,,,,
122,2011-05-09 11:00:00,18-49,1.0,62,0,0,0,0,0,0,0,,,,,,
123,2011-05-18 11:00:00,12-17,1.0,18,1,0,0,0,1,0,0,,,,,,
124,2011-05-26 11:00:00,18-49,1.0,63,0,0,0,0,0,0,0,,,,,,
125,2011-07-05 11:00:00,18-49,1.0,64,0,0,0,0,0,0,0,,,,,,
126,2011-08-15 11:00:00,18-49,1.0,65,0,0,0,0,0,0,0,,,,,,
127,2011-09-04 11:00:00,18-49,,65,1,0,0,0,1,0,0,1.0,1.0,,,,
128,2011-10-12 11:00:00,18-49,1.0,66,1,0,0,0,1,0,0,,,,,,
129,2011-11-03 11:00:00,18-49,1.0,67,1,0,0,0,1,0,0,,,,,,
130,2011-11-09 10:00:00,50-64,1.0,34,0,0,0,0,0,0,0,,,,,,
131,2011-11-20 10:00:00,18-49,1.0,68,1,0,0,0,1,0,0,,,,,,
132,2011-11-30 10:00:00,18-49,1.0,69,1,0,0,0,1,0,0,,,,,,
133,2011-12-01 10:00:00,50-64,1.0,35,0,0,0,0,0,0,0,,,,,,
134,2012-01-01 10:00:00,18-49,1.0,70,1,0,0,0,1,0,0,,,,,,
135,2012-01-06 10:00:00,65 and Older,1.0,14,1,0,0,0,1,0,0,,,,,,
136,2012-01-08 10:00:00,50-64,1.0,36,0,0,0,0,0,0,0,,,,,,
137,2012-01-12 10:00:00,18-49,2.0,72,1,0,0,0,1,0,0,,,,,,
138,2012-01-22 10:00:00,18-49,1.0,73,1,0,0,0,1,0,0,,,,,,
139,2012-01-26 10:00:00,65 and Older,1.0,15,1,0,0,0,1,0,0,,,,,,
140,2012-02-01 10:00:00,18-49,2.0,75,1,0,0,0,1,0,0,,,,,,
141,2012-02-01 10:00:00,65 and Older,1.0,16,1,0,0,0,1,0,0,,,,,,
142,2012-02-02 10:00:00,50-64,1.0,37,0,0,0,0,0,0,0,,,,,,
143,2012-02-03 10:00:00,65 and Older,1.0,17,1,0,0,0,1,0,0,,,,,,
144,2012-02-09 10:00:00,50-64,1.0,38,0,0,0,0,0,0,0,,,,,,
145,2012-02-11 10:00:00,65 and Older,1.0,18,1,0,0,0,1,0,0,,,,,,
146,2012-02-12 10:00:00,18-49,2.0,77,1,0,0,0,1,0,0,,,,,,
147,2012-02-12 10:00:00,50-64,2.0,40,0,0,0,0,0,0,0,,,,,,
148,2012-02-15 10:00:00,50-64,1.0,41,0,0,0,0,0,0,0,,,,,,
149,2012-02-16 10:00:00,50-64,1.0,42,0,0,0,0,0,0,0,,,,,,
150,2012-02-26 10:00:00,65 and Older,1.0,19,1,0,0,0,1,0,0,,,,,,
151,2012-02-28 10:00:00,50-64,1.0,43,0,0,0,0,0,0,0,,,,,,
152,2012-03-01 10:00:00,65 and Older,1.0,20,1,0,0,0,1,0,0,,,,,,
153,2012-03-02 10:00:00,50-64,1.0,44,0,0,0,0,0,0,0,,,,,,
154,2012-03-03 10:00:00,18-49,1.0,78,1,0,0,0,1,0,0,,,,,,
155,2012-03-04 10:00:00,50-64,1.0,45,0,0,0,0,0,0,0,,,,,,
156,2012-03-10 10:00:00,18-49,1.0,79,1,0,0,0,1,0,0,,,,,,
157,2012-03-12 11:00:00,18-49,1.0,80,1,0,0,0,1,0,0,,,,,,
158,2012-03-12 11:00:00,50-64,,45,1,0,0,0,1,0,0,1.0,1.0,,,,
159,2012-03-15 11:00:00,50-64,1.0,46,1,0,0,0,1,0,0,,,,,,
160,2012-03-15 11:00:00,65 and Older,1.0,21,1,0,0,0,1,0,0,,,,,,
161,2012-03-17 11:00:00,18-49,1.0,81,1,0,0,0,1,0,0,,,,,,
162,2012-03-18 11:00:00,18-49,1.0,82,1,0,0,0,1,0,0,,,,,,
163,2012-03-19 11:00:00,18-49,1.0,83,1,0,0,0,1,0,0,,,,,,
164,2012-03-21 11:00:00,18-49,1.0,84,1,0,0,0,1,0,0,,,,,,
165,2012-03-22 11:00:00,65 and Older,1.0,22,1,0,0,0,1,0,0,,,,,,
166,2012-03-23 11:00:00,50-64,1.0,47,1,0,0,0,1,0,0,,,,,,
167,2012-03-31 11:00:00,50-64,2.0,49,1,0,0,0,1,0,0,,,,,,
168,2012-04-01 11:00:00,18-49,1.0,85,1,0,0,0,1,0,0,,,,,,
169,2012-04-01 11:00:00,50-64,2.0,51,1,0,0,0,1,0,0,,,,,,
170,2012-04-01 11:00:00,65 and Older,1.0,23,1,0,0,0,1,0,0,,,,,,
171,2012-04-02 11:00:00,50-64,1.0,52,1,0,0,0,1,0,0,,,,,,
172,2012-04-03 11:00:00,18-49,1.0,86,1,0,0,0,1,0,0,,,,,,
173,2012-04-03 11:00:00,65 and Older,1.0,24,1,0,0,0,1,0,0,,,,,,
174,2012-04-06 11:00:00,50-64,1.0,53,1,0,0,0,1,0,0,,,,,,
175,2012-04-08 11:00:00,65 and Older,1.0,25,1,0,0,0,1,0,0,,,,,,
176,2012-04-10 11:00:00,18-49,1.0,87,1,0,0,0,1,0,0,,,,,,
177,2012-04-10 11:00:00,65 and Older,1.0,26,1,0,0,0,1,0,0,,,,,,
178,2012-04-13 11:00:00,12-17,1.0,19,1,0,0,0,1,0,0,,,,,,
179,2012-04-13 11:00:00,18-49,1.0,88,1,0,0,0,1,0,0,,,,,,
180,2012-04-13 11:00:00,65 and Older,1.0,27,1,0,0,0,1,0,0,,,,,,
181,2012-04-17 11:00:00,18-49,1.0,89,1,0,0,0,1,0,0,,,,,,
182,2012-04-23 11:00:00,50-64,1.0,54,1,0,0,0,1,0,0,,,,,,
183,2012-04-24 11:00:00,18-49,1.0,90,1,0,0,0,1,0,0,,,,,,
184,2012-04-24 11:00:00,50-64,1.0,55,1,0,0,0,1,0,0,,,,,,
185,2012-05-04 11:00:00,18-49,1.0,91,1,0,0,0,1,0,0,,,,,,
186,2012-05-19 11:00:00,18-49,1.0,92,1,0,0,0,1,0,0,,,,,,
187,2012-05-26 11:00:00,18-49,1.0,93,1,0,0,0,1,0,0,,,,,,
188,2012-06-12 11:00:00,18-49,1.0,94,1,0,0,0,1,0,0,,,,,,
189,2012-06-21 11:00:00,18-49,1.0,95,1,0,0,0,1,0,0,,,,,,
190,2012-07-24 11:00:00,18-49,1.0,96,1,0,0,0,1,0,0,,,,,,
191,2012-10-12 11:00:00,18-49,1.0,97,1,0,0,0,1,0,0,,,,,,
192,2012-11-01 11:00:00,50-64,1.0,56,1,0,0,0,1,0,0,,,,,,
193,2012-12-01 10:00:00,18-49,1.0,98,1,0,0,0,1,0,0,,,,,,
194,2012-12-02 10:00:00,50-64,1.0,57,1,0,0,0,1,0,0,,,,,,
195,2012-12-08 10:00:00,18-49,1.0,99,1,0,0,0,1,0,0,,,,,,
196,2012-12-10 10:00:00,18-49,1.0,100,1,0,0,0,1,0,0,,,,,,
197,2012-12-15 10:00:00,18-49,1.0,101,1,0,0,0,1,0,0,,,,,,
198,2012-12-21 10:00:00,18-49,1.0,102,1,0,0,0,1,0,0,,,,,,
199,2012-12-21 10:00:00,50-64,1.0,58,1,0,0,0,1,0,0,,,,,,
200,2012-12-27 10:00:00,18-49,1.0,103,1,0,0,0,1,0,0,,,,,,
201,2013-01-13 10:00:00,65 and Older,1.0,28,1,0,0,0,1,0,0,,,,,,
202,2013-02-11 10:00:00,18-49,1.0,104,1,0,0,0,1,0,0,,,,,,
203,2013-02-13 10:00:00,18-49,1.0,105,1,0,0,0,1,0,0,,,,,,
204,2013-03-12 11:00:00,50-64,1.0,59,1,0,0,0,1,0,0,,,,,,
205,2013-04-03 11:00:00,50-64,,59,2,0,0,0,2,0,0,1.0,1.0,,,,
206,2013-04-13 11:00:00,12-17,1.0,20,1,0,0,0,1,0,0,,,,,,
207,2013-04-13 11:00:00,18-49,1.0,106,1,0,0,0,1,0,0,,,,,,
208,2013-05-09 11:00:00,18-49,1.0,107,1,0,0,0,1,0,0,,,,,,
209,2014-01-09 10:00:00,50-64,1.0,60,2,0,0,0,2,0,0,,,,,,
210,2014-01-14 10:00:00,18-49,1.0,108,1,0,0,0,1,0,0,,,,,,
