,date,tavg,inpatient_beds_utilization,inpatient_bed_covid_utilization,percent_of_inpatients_with_covid,ScaledAvgTemp,ScaledAvgCovid,fullyvaxed,date_year,MD_Population,Percentage MD Population Vaccinated
37,2021-02-07,0.7,0.787315010570824,0.148834429169157,0.188595542090457,-1.3332076150363414,1.2318594152286197,205643,2021,6165000,0.03335652879156529
38,2021-02-08,-2.7,0.771423142694281,0.160776027660392,0.207950310559006,-1.7194822714968576,1.5172176566444935,219162,2021,6165000,0.03554939172749392
39,2021-02-09,2.0,0.780448868438351,0.152553635845833,0.194976947342878,-1.1855143640367323,1.3259440633375303,233677,2021,6165000,0.03790381184103812
40,2021-02-10,0.1,0.803598453001513,0.130486458952373,0.16197702603014,-1.4013737308823149,0.8394076561484088,255698,2021,6165000,0.041475750202757504
41,2021-02-11,-0.4,0.801666806970284,0.1285277116627,0.159966144731274,-1.458178827420626,0.8097601017448045,273936,2021,6165000,0.044434063260340634
42,2021-02-12,-2.1,0.788804284160321,0.123352483947279,0.155932927480508,-1.651316155650884,0.7502961105430005,294630,2021,6165000,0.04779075425790754
43,2021-02-13,-2.1,0.771168590445699,0.122851795133572,0.158838411615884,-1.651316155650884,0.7931332979100253,301310,2021,6165000,0.0488742903487429
44,2021-02-14,-0.8,0.758417011222682,0.12005794137696,0.157694459988808,-1.503622904651275,0.7762673754321777,303689,2021,6165000,0.04926017842660178
45,2021-02-15,0.8,0.735683235683236,0.134518008980606,0.182100362131402,-1.321846595728679,1.136097322604914,318029,2021,6165000,0.05158621248986212
46,2021-02-16,1.9,0.771590909090909,0.128386787936812,0.16580118694362,-1.1968753833443944,0.8957894121448827,339832,2021,6165000,0.0551227899432279
47,2021-02-17,-2.2,0.793981676052786,0.112629434730946,0.141410912190963,-1.6626771749585465,0.5361898683746765,366916,2021,6165000,0.059515977291159775
48,2021-02-18,-1.9,0.7897093612707,0.108523163552598,0.136965650909874,-1.6285941170355596,0.470650880198874,371831,2021,6165000,0.0603132197891322
49,2021-02-19,-0.4,0.797156318357732,0.108996686772577,0.136141765704584,-1.458178827420626,0.4585038770615259,392462,2021,6165000,0.06365969180859692
50,2021-02-20,-2.2,0.770602085435587,0.106903286066061,0.138033110404561,-1.6626771749585465,0.48638903613091433,413849,2021,6165000,0.06712879156528792
51,2021-02-21,-2.1,0.759546185759038,0.107643638850889,0.140985442329227,-1.651316155650884,0.529916926814165,421897,2021,6165000,0.06843422546634226
52,2021-02-22,-0.6,0.747515851234977,0.116532721010333,0.155099961798039,-1.4809008660359504,0.7380152288215079,437932,2021,6165000,0.07103519870235199
53,2021-02-23,4.1,0.773126712652367,0.11520825372564,0.148467315031392,-0.9469329585758253,0.6402263857083169,454706,2021,6165000,0.07375604217356042
54,2021-02-24,5.6,0.792303856382979,0.104883369692901,0.131995776135164,-0.7765176689608917,0.39737722011490617,480197,2021,6165000,0.07789083536090835
55,2021-02-25,6.1,0.804751979991663,0.102525252525253,0.127047042870554,-0.7197125724225805,0.3244152612095296,507616,2021,6165000,0.08233836171938362
56,2021-02-26,3.3,0.799498327759197,0.095957464764959,0.119734625105308,-1.0378211130371233,0.21660417179352567,534543,2021,6165000,0.08670608272506082
57,2021-02-27,4.1,0.778124209994101,0.084382443007826,0.108190642381939,-0.9469329585758253,0.046404739326599005,546239,2021,6165000,0.08860324412003244
58,2021-02-28,4.7,0.771194320006762,0.093941979522184,0.121523178807947,-0.8787668427298517,0.24297382535421108,551357,2021,6165000,0.08943341443633414
59,2021-03-01,5.9,0.753768844221106,0.106064880112835,0.140403286034354,-0.7424346110379049,0.5213338690109119,565008,2021,6165000,0.09164768856447689
60,2021-03-02,0.4,0.777685339249399,0.104604464369104,0.134228187919463,-1.367290672959328,0.4302909231085021,579051,2021,6165000,0.09392554744525547
61,2021-03-03,3.1,0.784805999347897,0.091140906473637,0.115887459470767,-1.0605431516524477,0.15988324425093425,598281,2021,6165000,0.0970447688564477
62,2021-03-04,4.7,0.792797965712411,0.09114238410596,0.114699447859152,-0.8787668427298517,0.14236772063085176,621283,2021,6165000,0.10077583130575832
63,2021-03-05,-0.1,0.790691907084401,0.088686801268146,0.111906516475418,-1.4240957694976393,0.1011899618086463,646830,2021,6165000,0.10491970802919708
64,2021-03-06,0.8,0.766434840205332,0.088911172390741,0.115677321156773,-1.321846595728679,0.15678505685422794,663191,2021,6165000,0.1075735604217356
65,2021-03-07,-0.3,0.763309172706823,0.090565085771948,0.118312644183236,-1.446817808112964,0.19563910698746723,674996,2021,6165000,0.10948840227088402
66,2021-03-08,1.3,0.741827947032133,0.098989520958084,0.133115249119275,-1.2650414991903678,0.4138822401867088,692937,2021,6165000,0.1123985401459854
67,2021-03-09,9.0,0.77004063538973,0.098628347485304,0.127780464216634,-0.39024301250037546,0.3352285047714117,717624,2021,6165000,0.1164029197080292
68,2021-03-10,10.0,0.791583994708995,0.086858573216521,0.109475233988853,-0.27663281942375306,0.06534419615772759,742430,2021,6165000,0.12042660178426602
69,2021-03-11,13.7,0.787723362011913,0.083618459484269,0.10599809584259,0.1437248949597497,0.01407879206932368,763412,2021,6165000,0.12383000811030008
